ID,Upvotes
366953,229.42276
141692,46.23756
316833,19.301733
3514,22.990612
331420,18.13072
406540,84.880325
227379,52.09837
331687,14.833997
32784,8.91169
470377,47.00457
338103,14.281985
218228,46.977585
14328,37.72416
259947,123.44334
384621,10.542329
425418,26.637312
131224,121.6182
365408,27.299253
218626,13.9222355
331722,31.346796
310969,17.600079
238694,11.146437
213841,13.88252
165258,130.76523
123606,32.489594
214062,31.436396
279450,447.75638
178546,12.060848
358455,34.312416
386308,13.660482
155592,29.8066
200090,34.96986
127308,13.677776
442443,8.07102
451259,418.82437
87024,8.491321
207529,195.77945
196568,23.701283
387275,9.06882
86152,14.755449
307187,7.856764
252388,17.151936
844,17.909908
105707,21.259018
362573,54.61493
173751,105.14108
349049,11.832701
310466,14.976829
205786,135.68205
208358,48.997494
440214,46.502754
41343,22.190872
427741,221.86201
137708,42.182358
220889,43.600693
28737,21.127346
292474,12.826934
349149,11.640719
46230,6.1288915
303160,76.67559
210116,11.13014
55900,12.0937605
91135,11.0301
170628,12.971131
237099,28.172379
166022,21.163965
175687,53.021477
392847,11.305197
454964,9.165509
259259,28.347244
289148,214.78334
311134,22.687515
336258,12.155969
468049,38.700058
22189,35.010925
264888,34.83154
451615,253.17386
85004,32.42028
375246,95.72131
60204,27.571283
126097,11.52005
449937,74.24805
378184,36.202816
357584,337.63953
383054,22.852985
299871,18.146608
152764,20.26304
22064,14.655815
416791,27.415012
440686,117.0345
44537,11.208645
80203,11.969068
81726,18.374926
440068,267.7596
109276,31.212717
120567,8.310179
84443,7.4744763
139139,48.201733
75219,15.914695
244042,61.15712
6992,24.998373
337741,9.383444
420761,77.607704
101501,7.57149
306979,9.12222
50260,15.271147
21088,17.561897
462951,7.8854823
196903,13.471529
51756,22.359936
192022,8.113964
384071,12.323518
56449,12.598872
172164,19.34513
341063,21.48919
431990,16.942226
342757,108.344894
335181,6.154559
121613,16.723677
40216,74.91531
351719,10.7819395
436421,10.437834
173164,28.475016
362350,7.0873003
357892,364.14246
335957,56.602997
192010,7.633698
407412,22.508163
19359,10.443793
122137,23.444153
54220,9.714603
425162,58.90038
453118,60.486782
373873,7.847313
53501,129.0857
67918,13.346611
68982,5.2145624
81980,40.58529
171470,12.374905
24209,11.536525
248733,9.909198
43097,13.279465
401490,30.61156
181282,30.833973
285264,36.020786
386230,9.706919
226323,18.26788
224589,96.14994
61,12.335018
120331,11.710982
59519,8.071606
157423,25.35275
94807,11.117858
130112,9.51143
361994,6.5536127
242867,49.29305
345301,10.905181
404296,6.72295
403325,20.826212
78570,19.77821
247119,80.96141
51709,15.92167
256743,16.734873
132448,42.4264
429148,21.528551
384840,8.897191
434864,231.23135
317954,114.83708
452061,23.436262
85212,16.175577
233976,45.826298
375077,195.22011
26720,50.50364
281194,30.47731
341707,30.09116
403654,42.134926
209246,82.65279
295413,26.323145
261533,37.37973
130134,27.55296
137990,133.22243
468459,139.78006
189150,9.660162
381154,8.071606
373043,23.444153
438093,33.49829
443706,27.570072
230906,29.944458
138183,11.991461
78231,17.08096
70795,13.922578
283674,25.908916
144543,17.937696
213929,56.71899
279629,48.945625
284422,8.814997
29532,10.875996
409963,37.646084
18156,12.898919
355380,12.155969
363354,34.90765
209720,20.501377
31479,117.51056
455028,29.219633
60804,13.501276
361348,145.62978
212541,9.87824
452107,10.144859
227926,17.909908
223984,12.898919
155138,499.38922
36080,15.972474
355444,47.297817
310281,28.005512
79606,89.272446
460657,266.16986
159813,35.940723
390567,86.40912
340325,17.744465
85871,14.5759
200645,6.848727
9158,68.823296
